,YEAR,AGE_GROUP,GENDER,DEATHS,COUNTRY
0,2020,0 to 29,female,1854,USA
1,2020,0 to 29,male,3318,USA
2,2020,30 to 49,female,5000,USA
3,2020,30 to 49,male,10289,USA
4,2020,50 +,female,680377,USA
5,2020,50 +,male,792134,USA
6,2021,0 to 29,female,6078,USA
7,2021,0 to 29,male,9207,USA
8,2021,30 to 49,female,16751,USA
9,2021,30 to 49,male,26996,USA
10,2021,50 +,female,746012,USA
11,2021,50 +,male,935837,USA
12,2022,0 to 29,female,2585,USA
13,2022,0 to 29,male,3893,USA
14,2022,30 to 49,female,4994,USA
15,2022,30 to 49,male,7555,USA
16,2022,50 +,female,426708,USA
17,2022,50 +,male,500892,USA
18,2023,0 to 29,female,258,USA
19,2023,0 to 29,male,397,USA
20,2023,30 to 49,female,412,USA
21,2023,30 to 49,male,599,USA
22,2023,50 +,female,94412,USA
23,2023,50 +,male,99436,USA
