,YEAR,AGE_GROUP,TOTAL_DEATHS,POPULATION,MORTALITY_RATE
0,2020,0 to 29,5172,254210460,2.034534692238864
1,2020,30 to 49,15289,172198146,8.87872509382302
2,2020,50 +,1472511,236593554,622.3800163211547
3,2021,0 to 29,15285,252095620,6.063175552197218
4,2021,30 to 49,43747,172575984,25.349413624088044
5,2021,50 +,1681849,239115886,703.3614654946012
6,2022,0 to 29,6478,251414856,2.576617827229748
7,2022,30 to 49,12549,173851316,7.2182369905097525
8,2022,50 +,927600,241276650,384.4549400035188
9,2023,0 to 29,655,250806986,0.2611569998293429
10,2023,30 to 49,1011,175463718,0.5761874942146159
11,2023,50 +,193848,243559086,79.5897222245283
