date,status,age_group,gender,count,rate_per_100000
2020-01-18,cases,0 to 11,male,1,0.04000665711
2020-01-18,cases,0 to 11,female,1,0.0420951426
2020-01-18,cases,0 to 11,all,2,0.04102433666
2020-01-18,cases,12 to 19,female,1,0.0581149374
2020-01-18,cases,12 to 19,all,1,0.02817225191
2020-01-18,cases,20 to 29,male,1,0.03469299819
2020-01-18,cases,20 to 29,all,1,0.0181014838
2020-01-18,cases,30 to 39,male,1,0.03391490614
2020-01-18,cases,30 to 39,all,1,0.0172845878
2020-01-18,cases,50 to 59,male,1,0.04059400394
2020-01-18,cases,50 to 59,female,1,0.03972628589
2020-01-18,cases,50 to 59,all,2,0.04015545784
2020-01-18,cases,all,male,4,0.01998630239
2020-01-18,cases,all,female,3,0.01493722333
2020-01-18,cases,all,all,7,0.01745733384
2020-01-18,hospitalizations,50 to 59,male,1,0.04059400394
2020-01-18,hospitalizations,50 to 59,all,1,0.02007772892
2020-01-18,hospitalizations,all,male,1,0.004996575597
2020-01-18,hospitalizations,all,all,1,0.002493904834
2020-01-25,cases,20 to 29,male,1,0.03469299819
2020-01-25,cases,20 to 29,female,3,0.1135510713
2020-01-25,cases,20 to 29,all,4,0.07240593519
2020-01-25,cases,30 to 39,female,1,0.0352491853
2020-01-25,cases,30 to 39,all,1,0.0172845878
2020-01-25,cases,40 to 49,male,1,0.03893563978
2020-01-25,cases,40 to 49,all,1,0.01948714131
2020-01-25,cases,50 to 59,male,1,0.04059400394
2020-01-25,cases,50 to 59,female,1,0.03972628589
2020-01-25,cases,50 to 59,all,2,0.04015545784
2020-01-25,cases,70 to 79,female,1,0.05642270992
2020-01-25,cases,70 to 79,all,1,0.02965333473
2020-01-25,cases,80+,female,1,0.09334383763
2020-01-25,cases,80+,all,1,0.05509814909
2020-01-25,cases,all,male,3,0.01498972679
2020-01-25,cases,all,female,7,0.03485352111
2020-01-25,cases,all,all,10,0.02493904834
2020-01-25,hospitalizations,40 to 49,male,1,0.03893563978
2020-01-25,hospitalizations,40 to 49,all,1,0.01948714131
2020-01-25,hospitalizations,all,male,1,0.004996575597
2020-01-25,hospitalizations,all,all,1,0.002493904834
2020-01-25,icu,40 to 49,male,1,0.03893563978
2020-01-25,icu,40 to 49,all,1,0.01948714131
2020-01-25,icu,all,male,1,0.004996575597
2020-01-25,icu,all,all,1,0.002493904834
2020-02-01,cases,0 to 11,male,1,0.04000665711
2020-02-01,cases,0 to 11,female,1,0.0420951426
2020-02-01,cases,0 to 11,all,2,0.04102433666
2020-02-01,cases,20 to 29,male,1,0.03469299819
2020-02-01,cases,20 to 29,female,3,0.1135510713
2020-02-01,cases,20 to 29,all,4,0.07240593519
2020-02-01,cases,30 to 39,female,2,0.07049837061
2020-02-01,cases,30 to 39,all,2,0.0345691756
2020-02-01,cases,40 to 49,female,1,0.03901300225
2020-02-01,cases,40 to 49,all,1,0.01948714131
2020-02-01,cases,50 to 59,male,1,0.04059400394
2020-02-01,cases,50 to 59,female,4,0.1589051436
2020-02-01,cases,50 to 59,all,5,0.1003886446
