year,age_group,gender,deaths
2020,50 +,male,1
2020,50 +,female,1
2020,50 +,male,2
2020,50 +,male,1
2020,50 +,female,2
2020,50 +,male,5
2020,50 +,female,5
2020,30 to 49,male,1
2020,30 to 49,male,2
2020,50 +,male,2
2020,50 +,male,5
2020,50 +,female,4
2020,50 +,male,13
2020,50 +,female,4
2020,50 +,male,10
2020,50 +,female,4
2020,0 to 29,female,1
2020,30 to 49,male,2
2020,30 to 49,male,3
2020,50 +,male,8
2020,50 +,female,3
2020,50 +,male,18
2020,50 +,female,7
2020,50 +,male,29
2020,50 +,female,13
2020,50 +,male,34
2020,50 +,female,47
2020,0 to 29,male,1
2020,30 to 49,male,4
2020,30 to 49,female,1
2020,50 +,male,5
2020,50 +,female,6
2020,50 +,male,15
2020,50 +,female,10
2020,50 +,male,36
2020,50 +,female,13
2020,50 +,male,69
2020,50 +,female,86
2020,30 to 49,male,2
2020,30 to 49,male,2
2020,30 to 49,female,2
2020,50 +,male,8
2020,50 +,female,4
2020,50 +,male,23
2020,50 +,female,9
2020,50 +,male,52
2020,50 +,female,28
2020,50 +,male,114
2020,50 +,female,170
2020,0 to 29,female,1
2020,30 to 49,male,1
2020,30 to 49,male,1
2020,30 to 49,female,1
2020,50 +,male,6
2020,50 +,female,11
2020,50 +,male,30
2020,50 +,female,13
2020,50 +,male,28
2020,50 +,female,32
2020,50 +,male,166
2020,50 +,female,243
2020,30 to 49,male,2
2020,30 to 49,male,2
2020,30 to 49,female,1
2020,50 +,male,10
2020,50 +,female,1
2020,50 +,male,25
2020,50 +,female,22
2020,50 +,male,68
2020,50 +,female,31
2020,50 +,male,181
2020,50 +,female,298
2020,0 to 29,male,2
2020,30 to 49,male,1
2020,30 to 49,female,1
2020,50 +,male,10
2020,50 +,female,3
2020,50 +,male,18
2020,50 +,female,12
2020,50 +,male,45
2020,50 +,female,32
2020,50 +,male,104
2020,50 +,female,163
2020,0 to 29,female,1
2020,30 to 49,male,1
2020,50 +,male,3
2020,50 +,female,6
2020,50 +,male,21
2020,50 +,female,12
2020,50 +,male,28
2020,50 +,female,18
2020,50 +,male,63
2020,50 +,female,88
2020,30 to 49,male,1
2020,50 +,male,5
2020,50 +,female,4
2020,50 +,male,13
2020,50 +,female,2
2020,50 +,male,25
2020,50 +,female,20
2020,50 +,male,50
2020,50 +,female,72
2020,30 to 49,male,2
2020,30 to 49,female,1
2020,50 +,male,3
2020,50 +,female,1
2020,50 +,male,9
2020,50 +,female,5
2020,50 +,male,17
2020,50 +,female,8
2020,50 +,male,40
2020,50 +,female,56
2020,0 to 29,male,1
2020,30 to 49,male,1
2020,30 to 49,male,1
2020,50 +,male,6
2020,50 +,female,1
2020,50 +,male,4
2020,50 +,female,6
2020,50 +,male,18
2020,50 +,female,11
2020,50 +,male,22
