year,age_group,gender,deaths
2020,0 to 29,male,113
2020,0 to 29,male,937
2020,30 to 49,male,2835
2020,50 +,male,36815
2020,50 +,male,50519
2020,50 +,male,59503
2020,50 +,male,51216
2020,0 to 29,female,86
2020,0 to 29,female,552
2020,30 to 49,female,1459
2020,50 +,female,19987
2020,50 +,female,31813
2020,50 +,female,46816
2020,50 +,female,71679
2021,0 to 29,male,328
2021,0 to 29,male,2373
2021,30 to 49,male,7061
2021,50 +,male,63503
2021,50 +,male,65191
2021,50 +,male,62240
2021,50 +,male,43206
2021,0 to 29,female,284
2021,0 to 29,female,1561
2021,30 to 49,female,4516
2021,50 +,female,39683
2021,50 +,female,46514
2021,50 +,female,48534
2021,50 +,female,52050
2022,0 to 29,male,392
2022,0 to 29,male,877
2022,30 to 49,male,2122
2022,50 +,male,22623
2022,50 +,male,31138
2022,50 +,male,37699
2022,50 +,male,33991
2022,0 to 29,female,356
2022,0 to 29,female,547
2022,30 to 49,female,1467
2022,50 +,female,15698
2022,50 +,female,22367
2022,50 +,female,29684
2022,50 +,female,39330
2023,0 to 29,male,77
2023,0 to 29,male,114
2023,30 to 49,male,245
2023,50 +,male,2651
2023,50 +,male,5234
2023,50 +,male,8588
2023,50 +,male,9207
2023,0 to 29,female,60
2023,0 to 29,female,69
2023,30 to 49,female,181
2023,50 +,female,2111
2023,50 +,female,4030
2023,50 +,female,7098
2023,50 +,female,11184
2020,0 to 29,male,18
2020,30 to 49,male,43
2020,50 +,male,658
2020,50 +,male,993
2020,50 +,male,1041
2020,50 +,male,679
2020,30 to 49,female,35
2020,50 +,female,477
2020,50 +,female,676
2020,50 +,female,859
2020,50 +,female,996
2021,0 to 29,male,45
2021,30 to 49,male,162
2021,50 +,male,1391
2021,50 +,male,1407
2021,50 +,male,1233
2021,50 +,male,612
2021,0 to 29,female,42
2021,30 to 49,female,111
2021,50 +,female,1090
2021,50 +,female,1141
2021,50 +,female,1021
2021,50 +,female,770
2022,0 to 29,male,19
2022,30 to 49,male,31
2022,50 +,male,473
2022,50 +,male,640
2022,50 +,male,660
2022,50 +,male,416
2022,30 to 49,female,25
2022,50 +,female,370
2022,50 +,female,428
2022,50 +,female,533
2022,50 +,female,489
2023,0 to 29,male,0
2023,50 +,male,55
2023,50 +,male,118
2023,50 +,male,165
2023,50 +,male,116
2023,50 +,female,49
2023,50 +,female,78
2023,50 +,female,118
2023,50 +,female,138
2020,0 to 29,male,0
2020,0 to 29,male,0
2020,50 +,male,20
2020,50 +,male,45
2020,50 +,male,46
2020,50 +,male,26
2020,0 to 29,female,0
2020,50 +,female,17
2020,50 +,female,21
2020,50 +,female,27
2020,50 +,female,33
2021,0 to 29,male,0
2021,30 to 49,male,22
2021,50 +,male,169
2021,50 +,male,131
2021,50 +,male,100
2021,50 +,male,53
2021,30 to 49,female,14
2021,50 +,female,57
2021,50 +,female,88
2021,50 +,female,75
2021,50 +,female,51
2022,30 to 49,male,0
2022,50 +,male,31
2022,50 +,male,55
2022,50 +,male,45
2022,50 +,male,21
2022,50 +,female,21
2022,50 +,female,40
2022,50 +,female,38
2022,50 +,female,45
2023,0 to 29,male,0
2023,0 to 29,male,0
2023,50 +,male,20
2023,50 +,male,12
2023,0 to 29,female,0
2023,0 to 29,female,0
2023,30 to 49,female,0
2023,50 +,female,10
2020,0 to 29,male,49
2020,30 to 49,male,127
2020,50 +,male,1121
2020,50 +,male,1305
2020,50 +,male,1547
2020,50 +,male,1098
2020,0 to 29,female,24
2020,30 to 49,female,68
2020,50 +,female,586
2020,50 +,female,838
2020,50 +,female,1033
2020,50 +,female,1115
2021,0 to 29,male,13
2021,0 to 29,male,88
2021,30 to 49,male,260
2021,50 +,male,1959
2021,50 +,male,2120
2021,50 +,male,2166
2021,50 +,male,1151
2021,0 to 29,female,67
2021,30 to 49,female,164
2021,50 +,female,1206
2021,50 +,female,1437
2021,50 +,female,1427
2021,50 +,female,1148
2022,0 to 29,male,32
2022,30 to 49,male,66
2022,50 +,male,556
2022,50 +,male,837
2022,50 +,male,1019
2022,50 +,male,791
2022,0 to 29,female,17
2022,30 to 49,female,49
2022,50 +,female,368
2022,50 +,female,572
2022,50 +,female,704
2022,50 +,female,660
2023,50 +,male,57
2023,50 +,male,116
2023,50 +,male,183
2023,50 +,male,191
2023,50 +,female,45
2023,50 +,female,75
2023,50 +,female,144
2023,50 +,female,180
2020,0 to 29,male,0
2020,30 to 49,male,22
2020,50 +,male,326
2020,50 +,male,475
2020,50 +,male,642
2020,50 +,male,505
2020,30 to 49,female,18
2020,50 +,female,220
2020,50 +,female,355
2020,50 +,female,548
2020,50 +,female,783
2021,0 to 29,male,31
2021,30 to 49,male,83
2021,50 +,male,759
2021,50 +,male,786
2021,50 +,male,715
2021,50 +,male,394
2021,0 to 29,female,26
2021,30 to 49,female,65
2021,50 +,female,499
2021,50 +,female,593
2021,50 +,female,562
2021,50 +,female,490
2022,0 to 29,male,14
2022,30 to 49,male,27
2022,50 +,male,254
2022,50 +,male,374
2022,50 +,male,474
2022,50 +,male,298
2022,30 to 49,female,20
2022,50 +,female,185
2022,50 +,female,298
2022,50 +,female,371
2022,50 +,female,341
2023,50 +,male,31
2023,50 +,male,58
2023,50 +,male,98
2023,50 +,male,67
2023,0 to 29,female,0
2023,50 +,female,35
2023,50 +,female,41
2023,50 +,female,88
2023,50 +,female,94
2020,0 to 29,male,12
2020,0 to 29,male,134
2020,30 to 49,male,423
2020,50 +,male,4500
2020,50 +,male,4749
2020,50 +,male,4679
2020,50 +,male,4127
2020,0 to 29,female,71
2020,30 to 49,female,189
2020,50 +,female,1877
2020,50 +,female,2538
2020,50 +,female,3557
2020,50 +,female,5208
2021,0 to 29,male,27
2021,0 to 29,male,290
2021,30 to 49,male,916
2021,50 +,male,7638
2021,50 +,male,6952
2021,50 +,male,6207
2021,50 +,male,4690
2021,0 to 29,female,19
2021,0 to 29,female,133
2021,30 to 49,female,402
2021,50 +,female,3839
2021,50 +,female,4283
2021,50 +,female,4649
2021,50 +,female,5352
2022,0 to 29,male,42
2022,0 to 29,male,117
2022,30 to 49,male,257
2022,50 +,male,2311
2022,50 +,male,2800
2022,50 +,male,3196
2022,50 +,male,3380
2022,0 to 29,female,40
2022,0 to 29,female,60
2022,30 to 49,female,130
2022,50 +,female,1316
2022,50 +,female,1800
2022,50 +,female,2390
2022,50 +,female,3704
2023,0 to 29,male,15
2023,30 to 49,male,37
2023,50 +,male,284
2023,50 +,male,484
2023,50 +,male,815
2023,50 +,male,963
2023,30 to 49,female,20
2023,50 +,female,186
2023,50 +,female,368
2023,50 +,female,557
2023,50 +,female,1074
2020,0 to 29,male,18
2020,30 to 49,male,23
2020,50 +,male,416
2020,50 +,male,636
2020,50 +,male,831
2020,50 +,male,791
2020,30 to 49,female,11
2020,50 +,female,181
2020,50 +,female,361
2020,50 +,female,618
2020,50 +,female,1042
2021,0 to 29,male,33
2021,30 to 49,male,104
2021,50 +,male,925
2021,50 +,male,893
2021,50 +,male,840
2021,50 +,male,597
2021,0 to 29,female,20
2021,30 to 49,female,49
2021,50 +,female,483
2021,50 +,female,604
2021,50 +,female,612
2021,50 +,female,689
2022,0 to 29,male,15
2022,30 to 49,male,54
2022,50 +,male,336
2022,50 +,male,437
2022,50 +,male,500
2022,50 +,male,468
2022,0 to 29,female,11
2022,30 to 49,female,16
2022,50 +,female,188
2022,50 +,female,314
2022,50 +,female,383
2022,50 +,female,550
2023,50 +,male,30
2023,50 +,male,66
2023,50 +,male,132
2023,50 +,male,134
2023,0 to 29,female,0
2023,50 +,female,23
2023,50 +,female,50
2023,50 +,female,92
2023,50 +,female,128
2020,0 to 29,male,0
2020,30 to 49,male,20
2020,50 +,male,419
2020,50 +,male,653
2020,50 +,male,856
2020,50 +,male,1046
2020,50 +,female,215
2020,50 +,female,429
2020,50 +,female,798
2020,50 +,female,1756
2021,30 to 49,male,34
2021,50 +,male,340
2021,50 +,male,363
2021,50 +,male,425
2021,50 +,male,424
2021,30 to 49,female,19
2021,50 +,female,200
2021,50 +,female,238
2021,50 +,female,367
2021,50 +,female,597
2022,30 to 49,male,24
2022,50 +,male,236
2022,50 +,male,266
2022,50 +,male,382
2022,50 +,male,460
2022,30 to 49,female,17
2022,50 +,female,145
2022,50 +,female,195
2022,50 +,female,276
2022,50 +,female,511
2023,0 to 29,male,0
2023,50 +,male,21
2023,50 +,male,44
2023,50 +,male,72
2023,50 +,male,122
2023,0 to 29,female,0
2023,30 to 49,female,0
2023,50 +,female,22
2023,50 +,female,38
2023,50 +,female,68
2023,50 +,female,146
2020,50 +,male,85
2020,50 +,male,137
2020,50 +,male,168
2020,50 +,male,135
2020,0 to 29,female,0
2020,50 +,female,64
2020,50 +,female,82
2020,50 +,female,142
2020,50 +,female,247
2021,0 to 29,male,0
2021,50 +,male,144
2021,50 +,male,153
2021,50 +,male,204
2021,50 +,male,133
2021,0 to 29,female,0
2021,50 +,female,96
2021,50 +,female,144
2021,50 +,female,153
2021,50 +,female,180
2022,30 to 49,male,14
2022,50 +,male,75
2022,50 +,male,115
2022,50 +,male,156
2022,50 +,male,112
2022,0 to 29,female,0
2022,0 to 29,female,0
2022,50 +,female,58
2022,50 +,female,80
2022,50 +,female,104
2022,50 +,female,118
2023,0 to 29,male,0
2023,50 +,male,10
2023,50 +,male,14
2023,50 +,male,49
2023,50 +,male,30
2023,0 to 29,female,0
2023,50 +,female,12
2023,50 +,female,33
2023,50 +,female,51
2020,30 to 49,male,21
2020,50 +,male,159
2020,50 +,male,169
2020,50 +,male,122
2020,50 +,male,81
2020,0 to 29,female,0
2020,50 +,female,87
2020,50 +,female,102
2020,50 +,female,81
2020,50 +,female,120
2021,30 to 49,male,13
2021,50 +,male,114
2021,50 +,male,91
2021,50 +,male,74
2021,50 +,male,40
2021,0 to 29,female,0
2021,30 to 49,female,12
2021,50 +,female,93
2021,50 +,female,91
2021,50 +,female,69
2021,50 +,female,60
2022,50 +,male,68
2022,50 +,male,72
2022,50 +,male,49
2022,50 +,male,34
2022,30 to 49,female,10
2022,50 +,female,34
2022,50 +,female,49
2022,50 +,female,46
2022,50 +,female,48
2023,0 to 29,male,0
2023,0 to 29,male,0
2023,50 +,male,15
2023,50 +,male,11
